player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian,13.815511557963774,-1.5545523200128677,-0.9823290346960878,18284883.720930234,16299065.420560747,14959009.74025974,0.0
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,6833333.333333333,14959009.74025974,0.0
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian,13.815511557963774,-1.5545523200128677,-0.3070213354365553,19833904.10958904,6833333.333333333,14959009.74025974,0.0
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian,16.118095750958314,0.11586031591917634,0.030632514193211002,19833904.10958904,21982142.85714286,14959009.74025974,0.5384064736044065
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian,17.399029524198163,1.0451153534208721,0.3682863638229773,19833904.10958904,19848913.04347826,14959009.74025974,0.8379234414829777
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas,16.993564429978885,0.7509701843217881,-1.319982884325854,19833904.10958904,19848913.04347826,26280014.124293786,0.7431147338524569
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas,14.914123179965662,-0.7575631193760233,-0.9823290346960878,19833904.10958904,20617647.05882353,26280014.124293786,0.2568851167581414
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas,16.993564429978885,0.7509701843217881,0.7059402134527436,18055555.555555556,19826086.95652174,26280014.124293786,0.7431147338524569
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas,16.52356082573315,0.4100054709122649,1.381247912712276,19669590.643274855,18454439.25233645,26280014.124293786,0.633215176688291
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas,16.993564429978885,0.7509701843217881,1.381247912712276,18284883.720930234,23625000.0,26280014.124293786,0.7431147338524569
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,18454439.25233645,14959009.74025974,0.162076444851182
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian,16.906553056777135,0.6878476727939987,0.030632514193211002,18055555.555555556,17787650.60240964,14959009.74025974,0.7227691209747333
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian,18.02763817065757,1.501140296741772,1.381247912712276,18055555.555555556,17787650.60240964,14959009.74025974,0.9849091480847831
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian,13.815511557963774,-1.5545523200128677,-1.319982884325854,18284883.720930234,17672500.0,14959009.74025974,0.0
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian,17.6762402900575,1.2462182566357272,-1.319982884325854,18284883.720930234,19513392.85714286,14959009.74025974,0.9027428176194046
Amit Mishra,All-Rounder,35000000,Delhi Daredevils,2015,Indian,17.370858648025116,1.024678755415943,-0.9823290346960878,19833904.10958904,20617647.05882353,14959009.74025974,0.8313363285579345
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,18284883.720930234,6833333.333333333,14959009.74025974,0.0
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian,17.50439003707821,1.121549271702152,0.030632514193211002,18284883.720930234,20617647.05882353,14959009.74025974,0.8625595795966183
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian,14.508658238524095,-1.0517081776423227,-1.319982884325854,18055555.555555556,19513392.85714286,14959009.74025974,0.162076444851182
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas,15.607270193858982,-0.25471873518863,-1.319982884325854,19833904.10958904,18454439.25233645,26280014.124293786,0.4189616395515956
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas,14.508658238524095,-1.0517081776423227,-0.9823290346960878,18284883.720930234,17787650.60240964,26280014.124293786,0.162076444851182
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas,15.424948670398354,-0.386984116631616,-0.6446751850663216,19833904.10958904,6833333.333333333,26280014.124293786,0.3763299352224885
Andrew Tye,All-Rounder,72000000,Kings XI Punjab,2018,Overseas,18.09217669086922,1.5479598484410695,0.030632514193211002,19833904.10958904,21982142.85714286,26280014.124293786,1.0000000000000004
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas,16.118095750958314,0.11586031591917634,0.7059402134527436,18284883.720930234,17672500.0,26280014.124293786,0.5384064736044065
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,19848913.04347826,14959009.74025974,0.162076444851182
Angelo Mathews,All-Rounder,72000000,Delhi Daredevils,2015,Overseas,18.09217669086922,1.5479598484410695,-0.9823290346960878,19833904.10958904,20617647.05882353,26280014.124293786,1.0000000000000004
